539;310
781;897
559;821
139;646
595;652
878;588
219;216
861;567
778;478
694;332
34;395
920;265
866;322
26;366
663;501
964;388
271;199
716;509
698;802
700;653
161;988
617;943
756;232
296;395
70;962
676;390
836;171
659;298
62;198
785;464
141;625
957;995
910;928
595;359
461;518
554;58
917;214
791;465
583;370
257;558
450;257
630;553
402;78
286;949
92;191
343;205
520;955
264;350
992;47
627;262
249;235
756;317
215;120
7;451
701;997
449;555
885;51
757;718
989;709
506;19
355;308
683;349
971;802
391;141
78;845
2;962
869;567
964;431
734;931
88;820
982;762
336;959
528;463
703;476
725;704
